#OTU ID	SRR14065308	SRR14065340	SRR14065341	SRR14065392	SRR14065395	SRR14065400	SRR14065406	SRR14065408	SRR14065413	SRR14065418	SRR14065429	SRR14065444	SRR14065495	SRR14065520	SRR14065527	SRR14065559	SRR14065561	SRR14065565	SRR14065566	SRR14065606	SRR14065629	SRR14065676	SRR14065680	SRR14065689	SRR14065714	SRR14065724	SRR14065760	SRR14065764	SRR14065780	SRR14065800	SRR14065801	SRR14065802	SRR14065805	SRR14065812	SRR14065820	SRR14065848	SRR14065866	SRR14065871	SRR14065884	SRR14065898	SRR14065911	SRR14065914
fig|176279.9.rna.66	3	1	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	8	2	0	0	2	0	0	1	0	0	0	0	0	2	0	251
fig|180332.3.rna.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	8	0	0
fig|195102.6.rna.20	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	4	3	0	0	2	0	2	157	0	0
fig|218493.5.rna.70	0	0	0	0	0	0	0	3	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
fig|220664.5.rna.1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fig|246787.4.rna.31	0	0	1	0	0	0	0	0	0	0	0	0	0	63	0	0	82	0	350	2	0	0	0	0	0	0	0	0	0	0	85	368	1	0	0	0	0	0	0	0	0	0
fig|246787.4.rna.71	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	97	0	366	40	0	0	0	0	0	0	0	1	0	0	195	436	0	0	0	0	0	0	0	0	0	0
fig|264199.4.rna.80	162	14	143	14	1	1	36	411	0	25	299	28	61	110	6	81	233	24	58	10	198	76	2102	1	4	27	122	371	1	13	317	8	164	136	105	113	114	30	110	0	0	0
fig|272620.9.rna.105	25	38	1	0	2534	0	0	201	0	1	0	1	5	1	0	0	0	0	1	0	0	1	0	0	1	0	15708	4	0	0	0	1	0	0	0	4	0	0	4	0	33	0
fig|273123.10.rna.5	523	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fig|273123.10.rna.92	9	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fig|28116.7.rna.48	1	0	892	48	0	0	51	40	61	1	0	50	0	0	236	159	0	22	166	30	148	0	102	1	44	106	0	0	0	0	1	500	55	80	0	0	33	12	0	0	0	0
fig|28116.7.rna.56	0	1	2760	0	0	0	1	7	1	2	0	138	0	2223	620	146	295	3	3	18	0	122	976	2	1	286	2	0	0	0	723	22	18	638	1	0	1162	14	1	3	0	0
fig|290338.8.rna.103	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fig|290339.8.rna.99	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fig|297352.8.rna.78	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fig|300268.11.rna.55	425	407	0	2	1	1	31	0	151	0	1	10	383	49	2	0	9	0	0	1	6	14244	0	81	1	0	1	1661	92	1	1	2	16	3	0	3	1	0	10379	4303	102	40824
fig|300268.11.rna.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
fig|300269.12.rna.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4
fig|326425.4.rna.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
fig|334390.5.rna.3	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
fig|334413.6.rna.3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fig|367928.6.rna.62	0	0	0	58	0	1	54	0	0	9	0	5	659	347	8	0	587	0	143	13	146	1558	0	0	0	0	0	0	0	0	99	61	1	26	1	0	0	58	0	0	0	0
fig|396513.4.rna.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
fig|399742.10.rna.106	6	0	0	0	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fig|411460.6.rna.49	1	0	24	42	0	85	0	2	0	24	0	39	85	2	80	43	1	35	0	31	223	0	41	238	131	5	0	0	68	68	3	4	6	37	61	0	59	0	0	557	2	0
fig|411461.4.rna.7	0	0	76	46	0	13	33	57	0	73	0	113	0	80	109	36	167	6	27	21	99	1	34	0	0	34	0	0	0	25	108	21	90	89	83	0	52	27	0	0	0	0
fig|411463.4.rna.49	0	0	361	1	0	27	5	3	0	21	0	21	0	0	55	3	0	0	27	4	9	0	37	0	0	25	0	0	0	20	0	35	6	37	26	0	60	44	0	0	0	0
fig|411474.6.rna.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fig|411483.3.rna.4	0	2	6050	111	0	2028	635	1142	1	1131	0	391	2581	5140	1335	1457	457	771	1994	139	266	0	634	2	2	876	0	1	0	244	1502	804	1888	2654	1060	0	1223	292	0	0	1	0
fig|411486.3.rna.50	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	4	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0
fig|411489.7.rna.34	0	0	0	0	0	1	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fig|411490.6.rna.11	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	25	34	0	0	0	76	0	0	4	0	0	0	0	2	0	136	218	0	0
fig|411903.6.rna.38	46	0	137	112	0	3	21	19	13	0	0	3	0	0	22	11	0	5	43	23	141	0	53	111	0	17	0	1	0	5	1	64	21	27	7	0	59	10	0	0	0	0
fig|420247.28.rna.6	0	0	0	9	0	0	0	29	0	0	0	0	0	0	0	0	0	1	0	0	34	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fig|435590.9.rna.42	8	14191	15	380	1	1994	207	157	733	604	9	6	93	1768	9	696	487	40	12	85	710	0	15	5	23	9	0	3	0	446	1136	16	98	936	3834	0	11	218	0	2	113	0
fig|435590.9.rna.51	0	1	2	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
fig|435590.9.rna.8	2782	16	2099	1186	0	2	944	3	2968	711	7155	2956	9490	10537	12563	3133	1889	2	2788	1913	2382	1	1624	10	2580	4384	0	3	0	2	5275	2449	2	3210	11	3	2477	818	0	5	36470	3
fig|435590.9.rna.96	0	321	0	0	0	0	1	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
fig|435591.13.rna.13	9189	0	2250	36	0	1	1	0	0	0	0	0	0	0	1	83	0	0	1	0	61	0	471	0	318	0	0	1	0	0	0	0	1	0	0	0	782	0	0	0	0	0
fig|436717.3.rna.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
fig|442563.4.rna.37	0	2	91	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fig|445973.7.rna.8	0	0	134	0	0	0	0	0	0	14	2	0	0	0	3	0	0	0	2	2	0	0	3	0	0	2	0	0	0	0	0	1	0	1	0	0	0	1	4	0	0	0
fig|445973.7.rna.9	0	241	651	1	0	5	22	16	3	120	12	48	3	16	153	13	70	1	95	31	38	0	11	80	54	111	0	0	1	0	22	98	10	12	0	1	12	62	428	783	120	0
fig|457396.3.rna.41	0	89	0	0	0	0	1	0	0	0	0	1	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0
fig|467705.9.rna.66	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	1	1	4	3	0	0	0	0	0	0	0	0
fig|469607.3.rna.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0
fig|469610.4.rna.74	0	732	114	28	0	0	0	8	0	0	0	5	0	17	3	0	1	23	138	2	203	0	27	0	268	7	0	0	0	0	12	106	77	0	0	0	3	0	0	0	0	0
fig|469613.3.rna.97	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fig|471870.8.rna.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0
fig|471870.8.rna.73	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1235	0	0	0	0	0	0	0	0	0	0	0	0	726	1	0	0	0	0	0	0	0	0	0
fig|471875.6.rna.17	0	0	0	3	0	0	5	0	0	1	0	47	0	361	0	0	304	1	0	34	16	0	0	0	0	67	0	0	0	0	342	0	0	94	0	0	0	0	0	0	0	0
fig|479436.6.rna.1	0	0	24	0	0	0	1	1	0	22	50	0	81	0	3	0	0	1	0	0	1	1635	9	29	1	4	0	13	0	0	1	0	11	4	0	8	0	0	1	1660	166	0
